ts_code,concept,business,q_np_change
300202.SZ,"区块链,数字货币,互联金融,物联网,创业板综,专用计算机设备,云计算","第一、金融机具、电子产品销售业务:涵盖商业银行网点柜台、后台及现金处理中心、金库系统等现钞类终端处理设备,以及智能收银终端等金融电子产品;第二、金融信息化系统开发及服务运营业务:涵盖基于商业银行网点、金库业务模式的信息化服务平台,以及第三方现钞处理、金库管理一体化服务运营、供应链金融系统开发及服务等业务。",-16.50%
002619.SZ,"手游概念,创投,综合互联网服务,云计算,网络游戏",互联网信息服务、软件服务及文化产业,-137.20%
600816.SH,"长江三角,信托",资金信托、理财信托、公益信托、投资银行、自有业务。,18.30%
002188.SZ,"长江三角,电子元件,网红直播","通讯电声器材的生产,电声器材、电声元器件、电声组合件以及相关的工装、设备的研发、销售,经营进出口业务,智能硬件、智能终端设备及其组件的研发、销售,计算机软件、智能硬件和智能终端设备的应用软件的开发、技术服务、技术转让,设计、制作、代理、发布国内各类广告。投资管理,会展服务。",-21.50%
600721.SH,"CRO,医疗服务","药物发现、研究、技术服务,提供从药物发现、CMC、临床CRO、药品注册、CMO/API供应等新药开发全流程的服务及一体化的解决方案。",376.90%
300312.SZ,"手游概念,物联网,智能家居,创业板综,壳资源,通信配套服务","无线网络优化系统业务,包括系统集成、设备销售和代维服务。",-2.60%
300023.SZ,"页岩气,创业板综,工业4.0,智能机器,节能环保,其他非银行金融,油气设服","石油钻采设备电控自动化产品的研发、设计、制造、销售、服务及系统集成,业务主要涉及陆地、海洋以及特殊环境(包括极地、沙漠、热带等)下石油钻采设备电控自动化系统解决方案的提供。",87.50%
000595.SZ,"纾困概念,基础件,军工,航母概念",各类滚动轴承的生产和销售,13.00%
002359.SZ,"特高压,物联网,深圳特区,智能电网,通信配套服务","无线宽带网的建设及运营,以宽带、安全、专业为特点,以信息通信技术和行业专业技术融合的端到端解决方案,向用户提供无线宽带物联、可视指挥、应急通信、移动会议等行业信息化特色服务。",上一季-21790.6435
600083.SH,"人工智能,专业工程,无线耳机",智能硬件、人工智能、市政工程业务,55.40%
