ts_code,name,concept,business,q_np_change
000017.SZ,*ST中华A,"共享经济,新零售,智能家居,深圳特区,其他交运设备,黄金概念,锂电池",自行车业务、锂电池材料业务、珠宝黄金业务。自行车业务包括生产、装配、采购、销售自行车及电动自行车等,69.40%
000027.SZ,深圳能源,"火电,独角兽,创投,太阳能,风能,深圳特区,光伏建筑一体化,租售同权,天然气,节能环保,新能源,碳交易","各种常规能源和新能源的开发、生产、购销;投资和经营与能源相关的原材料的开发和运输、港口、码头和仓储工业等;投资和经营与能源相配套的地产、房产业和租赁等产业;投资和经营能提高能源使用效益的高科技产业;经营和进出口本公司能源项目所需的成套设备、配套设备、机具和交通工具等;各种能源工程项目的设计、施工、管理和经营,以及与能源工程相关的人员培训、咨询及其他相关服务业务;环保技术的开发、转让和服务;物业管理、自有物业租赁;能提高社会经济效益的其他业务。",136.50%
000060.SZ,中金岭南,"小金属,铅锌,稀缺资源,基本金属,深圳特区,参股期货",有色金属铅锌的采、选、冶、加工及电池锌粉等储能材料生产、铝型材加工、幕墙安装工程、出租汽车营运、房地产开发等。,16.10%
000150.SZ,宜华健康,"健康中国,医疗器械,医疗美容,医疗服务,互联医疗,养老概念",医疗产业服务和养老产业服务等,3.60%
000155.SZ,川能动力,"新能源发电,成渝特区,风能,节能环保,太阳能,新能源,稀土永磁,锂电池","风力发电和光伏发电,以及新能源综合服务业务。",6.90%
000158.SZ,常山北明,"区块链,网络安全,智慧城市,创投,大数据,一带一路,数据中心,其他软件服务,华为概念,京津冀,雄安新区,国产软件",纺织业务、软件和信息技术服务业,8.30%
000408.SZ,*ST藏格,"小金属,其他化学原料,锂电池",氯化钾的生产和销售及贸易业务,203.20%
000422.SZ,ST宜化,"煤化工,降解塑料,氯碱,化工原料,湖北自贸",化肥、化工产品的生产与销售。,164.80%
000426.SZ,兴业矿业,"铅锌,小金属",有色金属及贵金属采选与冶炼,276.50%
000504.SZ,南华生物,"创投,环保,免疫治疗,节能环保",资讯、媒体、文化传播投资管理;高新技术产业投资管理;技术开发、转让、咨询服务;提供信息源服务;网络技术服务;承接计算机网络工程;系统集成;销售计算机软硬件及外围设备、通讯产品。,153.30%
